camera,frame,timestamp,obj_id,class,bbox,x_c,y_c,w,h,in_alert_zone,v_width,v_height
CAMERA_HALL_PORTE_ENTREE,13,0.43,10580,skateboard,"[1481, 860, 101, 46]",1532,883,101,46,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,13,0.43,10582,cell phone,"[415, 746, 95, 101]",463,796,95,101,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,13,0.43,10583,person,"[0, 50, 498, 1007]",249,553,498,1007,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,14,0.47,10577,person,"[1473, 450, 166, 446]",1556,673,166,446,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,14,0.47,10578,person,"[676, 355, 287, 720]",819,715,287,720,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,14,0.47,10579,person,"[1123, 433, 69, 298]",1157,582,69,298,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,14,0.47,10580,skateboard,"[1478, 856, 100, 48]",1528,880,100,48,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,14,0.47,10582,cell phone,"[452, 733, 92, 103]",498,785,92,103,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,14,0.47,10583,person,"[1, 28, 527, 1028]",264,542,527,1028,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,15,0.5,10577,person,"[1475, 446, 159, 452]",1554,672,159,452,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,15,0.5,10578,person,"[705, 354, 284, 718]",847,713,284,718,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,15,0.5,10579,person,"[1122, 433, 70, 297]",1157,582,70,297,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,15,0.5,10580,skateboard,"[1477, 854, 95, 48]",1524,878,95,48,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,15,0.5,10582,cell phone,"[491, 726, 85, 106]",533,779,85,106,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,15,0.5,10583,person,"[1, 14, 562, 1039]",282,534,562,1039,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,16,0.54,10577,person,"[1476, 442, 154, 457]",1553,670,154,457,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,16,0.54,10578,person,"[739, 357, 281, 715]",879,714,281,715,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,16,0.54,10579,person,"[1122, 434, 70, 295]",1157,582,70,295,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,16,0.54,10580,skateboard,"[1476, 850, 95, 51]",1523,876,95,51,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,16,0.54,10582,cell phone,"[528, 725, 81, 106]",568,778,81,106,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,16,0.54,10583,person,"[2, 8, 600, 1045]",302,531,600,1045,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,17,0.57,10577,person,"[1479, 438, 151, 461]",1554,668,151,461,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,17,0.57,10578,person,"[771, 357, 277, 718]",910,716,277,718,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,17,0.57,10579,person,"[1122, 435, 72, 295]",1158,583,72,295,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,17,0.57,10580,skateboard,"[1478, 847, 95, 54]",1525,874,95,54,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,17,0.57,10583,person,"[1, 6, 671, 1050]",337,531,671,1050,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,18,0.6,10577,person,"[1479, 432, 149, 469]",1554,666,149,469,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,18,0.6,10578,person,"[798, 353, 276, 722]",936,714,276,722,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,18,0.6,10579,person,"[1123, 436, 71, 294]",1159,583,71,294,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,18,0.6,10583,person,"[1, 8, 692, 1048]",347,532,692,1048,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,19,0.64,10577,person,"[1481, 428, 146, 473]",1554,665,146,473,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,19,0.64,10578,person,"[821, 349, 274, 725]",958,712,274,725,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,19,0.64,10579,person,"[1123, 436, 70, 294]",1158,583,70,294,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,19,0.64,10583,person,"[0, 8, 719, 1053]",360,534,719,1053,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,19,0.64,10586,refrigerator,"[1720, 324, 114, 615]",1777,632,114,615,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,20,0.67,10577,person,"[1482, 426, 141, 477]",1553,664,141,477,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,20,0.67,10578,person,"[837, 343, 282, 731]",978,708,282,731,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,20,0.67,10579,person,"[1122, 435, 69, 296]",1156,583,69,296,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,20,0.67,10583,person,"[0, 16, 776, 1048]",388,540,776,1048,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,20,0.67,10586,refrigerator,"[1718, 325, 110, 614]",1773,632,110,614,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,21,0.7,10577,person,"[1486, 424, 134, 480]",1553,664,134,480,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,21,0.7,10578,person,"[859, 338, 280, 737]",999,706,280,737,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,21,0.7,10579,person,"[1122, 433, 67, 297]",1156,582,67,297,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,21,0.7,10583,person,"[0, 30, 682, 1029]",341,544,682,1029,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,21,0.7,10586,refrigerator,"[1715, 326, 115, 614]",1773,633,115,614,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,22,0.74,10577,person,"[1488, 423, 130, 482]",1553,664,130,482,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,22,0.74,10578,person,"[885, 334, 278, 740]",1024,704,278,740,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,22,0.74,10579,person,"[1124, 462, 63, 270]",1156,597,63,270,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,22,0.74,10583,person,"[0, 44, 675, 1003]",337,545,675,1003,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,22,0.74,10586,refrigerator,"[1713, 326, 117, 614]",1772,633,117,614,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,23,0.77,10577,person,"[1488, 422, 129, 482]",1552,663,129,482,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,23,0.77,10578,person,"[910, 331, 273, 742]",1047,702,273,742,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,23,0.77,10583,person,"[49, 56, 654, 924]",376,518,654,924,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,23,0.77,10586,refrigerator,"[1712, 328, 119, 611]",1771,633,119,611,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,24,0.8,10577,person,"[1489, 422, 129, 482]",1554,663,129,482,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,24,0.8,10578,person,"[935, 330, 269, 742]",1070,701,269,742,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,24,0.8,10583,person,"[120, 62, 636, 892]",438,508,636,892,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,25,0.84,10577,person,"[1489, 423, 129, 481]",1554,663,129,481,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,25,0.84,10578,person,"[965, 326, 263, 744]",1097,698,263,744,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,25,0.84,10583,person,"[190, 63, 620, 881]",500,503,620,881,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,26,0.87,10577,person,"[1488, 423, 129, 481]",1552,664,129,481,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,26,0.87,10578,person,"[935, 327, 328, 743]",1099,699,328,743,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,26,0.87,10583,person,"[238, 62, 622, 943]",549,534,622,943,False,1920,1080
